"","Assay","time_contrast","estimate","SE","df","t.ratio","p","q"
"1938","IL2RB","week52 - week24",0.245023376623377,0.254868403241091,82,0.961372117953747,0.339191459097569,0.821359378462206
"1939","IL31RA","week24 - week0",0.196985497835498,0.176841857920213,82,1.11390764693489,0.268573239105682,0.853267848645464
"1940","IL31RA","week52 - week0",0.337674025974026,0.176841857920213,82,1.90946888901369,0.0596988768309044,0.53146561081171
"1941","IL31RA","week52 - week24",0.140688528138527,0.176841857920213,82,0.795561242078801,0.428584053636113,0.861890796568491
"1942","PSMG4","week24 - week0",-0.495259956709958,0.471708859855356,82,-1.04992718784596,0.296836122839505,0.853267848645464
"1943","PSMG4","week52 - week0",-0.264836363636363,0.471708859855356,82,-0.561440299674618,0.576028650655417,0.989292669723712
"1944","PSMG4","week52 - week24",0.230423593073594,0.471708859855356,82,0.488486888171342,0.626508842858533,0.920041313064554
"1945","APOB","week24 - week0",0.23491774891775,0.407684590345822,82,0.576224253947098,0.566041888544187,0.939634152089483
"1946","APOB","week52 - week0",0.19963787878788,0.407684590345822,82,0.489687085348346,0.625662845993528,0.989292669723712
"1947","APOB","week52 - week24",-0.0352798701298697,0.407684590345822,82,-0.0865371685987523,0.931250373955704,0.975341137715443
"1948","FOXJ3","week24 - week0",-0.0972543290043291,0.217582762996215,82,-0.446976257057739,0.656070568351208,0.94553529381538
"1949","FOXJ3","week52 - week0",0.110450216450216,0.217582762996215,82,0.507623926313214,0.613079776684468,0.989292669723712
"1950","FOXJ3","week52 - week24",0.207704545454545,0.217582762996215,82,0.954600183370953,0.342585637859094,0.821359378462206
"1951","JAM3","week24 - week0",-0.291799783549785,0.171865409745742,82,-1.69783893094879,0.0933303159446826,0.789190452193174
"1952","JAM3","week52 - week0",0.112941125541125,0.171865409745742,82,0.657148670626687,0.51292561075945,0.989292669723712
"1953","JAM3","week52 - week24",0.40474090909091,0.171865409745742,82,2.35498760157547,0.0209130328565135,0.821359378462206
"1954","SERPINA4","week24 - week0",0.0559220779220764,0.281980590554497,82,0.198318890715525,0.843286426352058,0.97244903805597
"1955","SERPINA4","week52 - week0",-0.335831385281387,0.281980590554497,82,-1.19097340927259,0.237100119995163,0.860602741638164
"1956","SERPINA4","week52 - week24",-0.391753463203463,0.281980590554497,82,-1.38929229998811,0.168505069289541,0.821359378462206
"1957","LGALS9","week24 - week0",-0.223666666666669,0.221899184918115,82,-1.00796524669168,0.316436285519687,0.861934658318551
"1958","LGALS9","week52 - week0",-0.0230201298701304,0.221899184918115,82,-0.103741389940776,0.917627889750204,0.989292669723712
"1959","LGALS9","week52 - week24",0.200646536796539,0.221899184918115,82,0.904223856750901,0.368525616157497,0.821359378462206
